,filter,instrument,mjd,magpsf,sigmamagpsf,alert
117,g,P48+ZTF,58647.3695602,18.3975275102898,0.026396527620148998,False
118,g,P48+ZTF,58718.1508796,18.3032397750985,0.014949124672063,False
119,g,P48+ZTF,58665.213252300004,18.2859283557162,0.011390181326329999,False
120,g,P48+ZTF,58705.25407409999,18.114283287262896,0.020064231682496003,False
121,g,P48+ZTF,58691.227523099995,18.2320287424395,0.010967142686883001,False
122,g,P48+ZTF,58666.2345949,18.3078728017739,0.012372553939251001,False
123,g,P48+ZTF,58709.169976900004,18.2084200983032,0.024777532533372004,False
124,g,P48+ZTF,58657.2350694,18.3059935243841,0.013664527059685,False
125,g,P48+ZTF,58681.185601900004,18.2253938663148,0.031738751588221994,False
126,r,P48+ZTF,58775.102604199994,18.5002303813793,0.024103693232916,False
127,g,P48+ZTF,58727.170277799996,18.423329876784,0.015275421347161,False
128,g,P48+ZTF,58639.2565046,18.4730790407999,0.01465854902532,False
129,g,P48+ZTF,58697.2069676,18.2072903997461,0.011282750046428999,False
130,r,P48+ZTF,58666.2538542,18.1893486024027,0.012186928780736002,False
131,r,P48+ZTF,58654.212326400004,18.212375481526898,0.013560370799453,False
132,i,P48+ZTF,58652.256423599996,18.1928010010693,0.03545752393197,False
133,r,P48+ZTF,58642.24497690001,18.3599665246227,0.013496334940109,False
134,r,P48+ZTF,58657.3823495,18.231438939933398,0.020085506501845,False
135,r,P48+ZTF,58761.120011599996,18.5042384203607,0.025793255876078,False
136,i,P48+ZTF,58640.29802080001,18.356660735501897,0.023118290549215,False
137,r,P48+ZTF,58663.30251159999,18.1637103924375,0.012884367445411002,False
138,i,P48+ZTF,58663.1844676,18.0807406807619,0.022343659653773,False
139,g,P48+ZTF,58600.39875,21.1410806069293,0.143374553696419,False
140,g,P48+ZTF,58764.1999769,18.6637674741285,0.068055514034497,False
141,i,P48+ZTF,58986.333912,18.585940386675603,0.026040142827134,False
142,g,P48+ZTF,58640.33502309999,18.4616263455251,0.011696075266318998,False
143,i,P48+ZTF,59093.2382407,19.0616131593262,0.075164992152396,False
144,g,P48+ZTF,58632.425138900006,18.6581162722429,0.019148288798179,False
145,g,P48+ZTF,58618.44123840001,19.0865459373828,0.154032500088044,False
146,g,P48+ZTF,58732.169143499996,18.500563338444103,0.025002822676226003,False
147,r,P48+ZTF,58646.276713,18.3307030090044,0.023907531935878,False
148,i,P48+ZTF,59072.259791699995,18.8975110706568,0.039617454685181,False
149,g,P48+ZTF,58708.151678199996,18.115257204673604,0.026714787753411,False
150,g,P48+ZTF,58685.16888890001,18.2569954545286,0.017143081891873,False
151,r,P48+ZTF,58657.3428588,18.2382663409072,0.016323921030139,False
152,g,P48+ZTF,58747.13054400001,18.6378140033455,0.021911077632142,False
153,r,P48+ZTF,58675.23285880001,18.0981965967181,0.016362518367052,False
154,g,P48+ZTF,58690.1909954,18.243435111777,0.011948655329853,False
155,g,P48+ZTF,58733.208703699995,18.4986469355038,0.030570449066127003,False
156,i,P48+ZTF,59049.26747690001,18.8249238845468,0.028351448543557003,False
157,r,P48+ZTF,58618.233912,19.4939354138605,0.09317679136742699,False
158,r,P48+ZTF,58605.41973380001,20.643949181082398,0.15729834542860902,False
159,g,P48+ZTF,58616.484386599994,19.4046478132618,0.044380495250966,False
160,g,P48+ZTF,58637.4413426,18.518010330284103,0.014512913737578001,False
161,g,P48+ZTF,58638.3578819,18.5381483142538,0.013941946751056002,False
162,g,P48+ZTF,58775.1121528,18.7400065009892,0.028192615966104,False
163,g,P48+ZTF,58697.2055556,18.220637749423197,0.011690001748613999,False
164,r,P48+ZTF,58644.2964352,18.3642710635823,0.020756751815038003,False
165,r,P48+ZTF,58657.343773099994,18.157704495186398,0.018145354409238,False
166,i,P48+ZTF,59084.2153472,19.060281616067897,0.06496096371890099,False
167,g,P48+ZTF,58739.1212269,18.556176530916396,0.052383616325053006,False
168,g,P48+ZTF,58667.3191319,18.2798758439076,0.011631564187792,False
169,r,P48+ZTF,58700.17401619999,18.0184281929209,0.011353158434557,False
170,g,P48+ZTF,58708.17195599999,18.2310247591864,0.024658295075338,False
171,r,P48+ZTF,58642.2783102,18.3892369781968,0.013089988680725,False
172,g,P48+ZTF,58640.3577546,18.471174757964803,0.014166874422264,False
173,g,P48+ZTF,58617.44291669999,19.398528121644798,0.027513362859606004,False
174,g,P48+ZTF,58681.2098727,18.2682429396375,0.03446929956871601,False
175,g,P48+ZTF,58645.248425900005,18.3670517753493,0.021398676284158997,False
176,g,P48+ZTF,58632.3366551,18.6436420848975,0.015585618271668999,False
177,i,P48+ZTF,58962.433287,18.585921240758,0.037750671335692,False
178,g,P48+ZTF,58690.276330999994,18.229348017038102,0.011308999042110999,False
179,i,P48+ZTF,59019.2974074,18.8689965786702,0.036543280436455,False
180,r,P48+ZTF,58628.37633099999,18.7342943004442,0.023784759167726002,False
181,i,P48+ZTF,59032.2722222,18.8299108436347,0.04319422939231,False
182,r,P48+ZTF,58697.1680324,18.0268562706271,0.010969267462685,False
183,g,P48+ZTF,58675.297164400006,18.2305380181757,0.019929459760341,False
184,r,P48+ZTF,58639.2975,18.451408851485898,0.017073425045983998,False
185,g,P48+ZTF,58743.1448727,18.5987239074846,0.021594255140052,False
186,g,P48+ZTF,58675.3100579,18.294388017452,0.020267951972972,False
187,r,P48+ZTF,58637.315705999994,18.5079391006105,0.016372629182016,False
188,g,P48+ZTF,58674.1918519,18.245562075905603,0.017659799763845,False
189,r,P48+ZTF,58612.4616551,19.803691067039498,0.042755487143665005,False
190,g,P48+ZTF,58647.2163773,18.3696863104871,0.028046229842518,False
191,g,P48+ZTF,58600.39372690001,21.3414083254062,0.18277560442901503,False
192,r,P48+ZTF,58653.225289400005,18.1872605368521,0.022453463912965,False
193,r,P48+ZTF,58711.2843171,18.090241451563898,0.028622359372918002,False
194,i,P48+ZTF,58976.4196528,18.6184067872324,0.061931383772277006,False
195,g,P48+ZTF,58699.2025926,18.2227390220701,0.011781106679259,False
196,r,P48+ZTF,58672.2290625,18.166790033217,0.01322719097703,False
197,g,P48+ZTF,58750.1359606,18.634331972229102,0.03102631076177,False
198,r,P48+ZTF,58677.236169,18.221317532646,0.025092304288292004,False
199,r,P48+ZTF,58674.228460599996,18.1630724619024,0.017720399593586,False
200,r,P48+ZTF,58792.1100694,18.5386632432876,0.058862761741294005,False
201,g,P48+ZTF,58616.4565741,19.4333909385548,0.030832559279692,False
202,r,P48+ZTF,58674.2112037,18.1715354770343,0.021613202317651004,False
203,g,P48+ZTF,58693.237013900005,18.237259807244197,0.014472584723099,False
204,r,P48+ZTF,58641.3335995,18.3943781245229,0.011407746787872,False
205,r,P48+ZTF,58732.2116898,18.233521143572897,0.027741176855806002,False
206,g,P48+ZTF,58686.28563659999,18.2828448924922,0.016319366610231003,False
207,i,P48+ZTF,59024.31988430001,18.7460199372943,0.044860077474025005,False
208,g,P48+ZTF,58639.4554977,18.4864094175143,0.012697173257281,False
209,r,P48+ZTF,58661.3060995,18.1670471767743,0.012375768275955,False
210,r,P48+ZTF,58616.377106500004,19.3508019632495,0.036844495679115,False
211,g,P48+ZTF,58711.2402199,18.255313741756698,0.028346345898656002,False
212,r,P48+ZTF,58600.46958330001,21.1374673818985,0.166112300640484,False
213,i,P48+ZTF,58671.18214119999,17.977387731092698,0.018687381323453,False
214,r,P48+ZTF,58608.3406019,20.0695524602072,0.11170339491565302,False
215,r,P48+ZTF,58644.2768056,18.3053970125113,0.015964590600888,False
216,g,P48+ZTF,58685.2061921,18.280589531386898,0.012273645968898999,False
217,g,P48+ZTF,58632.4390046,18.7573993044963,0.023791789588901,False
218,i,P48+ZTF,59076.227291699994,18.889988799136,0.039659953908484,False
219,r,P48+ZTF,58675.2452778,18.1559053591401,0.018037921312119,False
220,r,P48+ZTF,58668.3209722,18.140979942675898,0.012211104855613001,False
221,g,P48+ZTF,58716.264641199996,18.2639999559477,0.029906749908042998,False
222,r,P48+ZTF,58632.30057869999,18.6799012358973,0.021739860625333,False
223,r,P48+ZTF,58634.3540625,18.653440004814602,0.017745449426374998,False
224,i,P48+ZTF,58636.29833330001,18.477622632269398,0.026097751420051003,False
225,g,P48+ZTF,58712.1475463,18.228367303722397,0.020015443713198997,False
226,r,P48+ZTF,58617.3378704,19.1984335255116,0.042395608581534,False
227,g,P48+ZTF,58694.2278125,18.244724986412802,0.011197850243802,False
228,r,P48+ZTF,58643.29480319999,18.348554511551498,0.019901198996695,False
229,r,P48+ZTF,58642.271111099995,18.4171272558733,0.01355657894116,False
230,g,P48+ZTF,58740.145705999996,18.528877795828603,0.04732429025519901,False
231,g,P48+ZTF,58650.2134028,18.334843938701397,0.038469412482151,False
232,g,P48+ZTF,58743.1219097,18.5562316032703,0.023855120016354998,False
233,g,P48+ZTF,58741.1218519,18.5726559335644,0.034636004157363,False
234,g,P48+ZTF,58608.31751159999,20.1918295624513,0.087119819084955,False
235,g,P48+ZTF,58672.3310069,18.3007656555387,0.011133186731365,False
236,i,P48+ZTF,58980.37601849999,18.640342700549102,0.041898149048624996,False
237,r,P48+ZTF,58681.2686806,18.1116567865185,0.026885799012933,False
238,r,P48+ZTF,58635.2856944,18.574868638932,0.013874798603521001,False
239,g,P48+ZTF,58732.1479745,18.4995375753058,0.024854460405834996,False
240,g,P48+ZTF,58607.4359954,20.260706710481898,0.0626808308153,False
241,g,P48+ZTF,58718.1753241,18.259809243743,0.012723617045735,False
242,g,P48+ZTF,58729.13332180001,18.4900950292939,0.079965575080658,False
243,r,P48+ZTF,58617.3178704,19.2296751752466,0.042093357973591004,False
244,g,P48+ZTF,58644.2139931,18.4373087462209,0.018800451582792,False
245,r,P48+ZTF,58608.3577431,19.9804127094561,0.10102643327456402,False
246,g,P48+ZTF,58725.1723264,18.3941620096483,0.020792109243709,False
247,g,P48+ZTF,58785.11501159999,18.756471385671002,0.039370918735312996,False
248,r,P48+ZTF,58661.3159028,18.2084489198229,0.012230865388316999,False
249,r,P48+ZTF,58638.2892014,18.475708200478397,0.015587161058508001,False
250,i,P48+ZTF,58627.453912,18.848939856623897,0.038525194694617994,False
251,r,P48+ZTF,58742.120451400006,18.206822136995303,0.041640762813162,False
252,g,P48+ZTF,58795.10979169999,18.768262679189398,0.08654799288000702,False
253,g,P48+ZTF,58738.1211806,18.5750126303697,0.057784088643837,False
254,r,P48+ZTF,58632.33052080001,18.666778181242897,0.021132392743139997,False
255,i,P48+ZTF,58747.1125694,18.1073002849148,0.056933594010201,False
256,r,P48+ZTF,58608.379571800004,20.192786800817,0.154460602652167,False
257,g,P48+ZTF,58724.1846528,18.3800702983524,0.012679244784396998,False
258,r,P48+ZTF,58639.3164583,18.4265851729888,0.019569335728638,False
259,g,P48+ZTF,58714.149838,18.2318579037727,0.018617597785455003,False
260,r,P48+ZTF,58655.2106597,18.2945136445183,0.020026325832669,False
261,g,P48+ZTF,58635.4209838,18.5886380847353,0.013315259323633002,False
262,g,P48+ZTF,58718.267210599995,18.2522687283554,0.013714994654381,False
263,r,P48+ZTF,58702.1704051,18.0683910698139,0.079289499425644,False
264,r,P48+ZTF,58619.3503935,19.1587712003273,0.10455065992834699,False
265,g,P48+ZTF,58682.1926852,18.2981659508797,0.024225742356082002,False
266,g,P48+ZTF,58685.291412,18.2443397049521,0.01883976669646,False
267,r,P48+ZTF,58628.35960650001,18.7583367630072,0.024047225405463,False
268,r,P48+ZTF,58654.35854169999,18.2789472850248,0.026980685482547995,False
269,g,P48+ZTF,58778.1221644,18.803215520231102,0.040766121795067,False
270,g,P48+ZTF,58737.1303819,18.559186272145602,0.039265717305208,False
271,g,P48+ZTF,58684.2111806,18.2977384159427,0.013867595381219,False
272,i,P48+ZTF,58997.3164583,18.6197247346215,0.03009481944109,False
273,g,P48+ZTF,58686.2085648,18.249274550735397,0.010496929925034,False
274,r,P48+ZTF,58607.36155090001,20.1463187595633,0.062394250569195,False
275,i,P48+ZTF,58971.4614815,18.6642851394753,0.031059408324391004,False
276,r,P48+ZTF,58672.2065278,18.1402797163148,0.013010457038406,False
277,r,P48+ZTF,58618.3566898,19.250863638837398,0.054436323884411,False
278,g,P48+ZTF,58698.193113400004,18.192280753299197,0.016036846287543,False
279,i,P48+ZTF,58733.145173599994,18.0389857644243,0.020305522798341,False
280,g,P48+ZTF,58605.48425930001,20.4248741701052,0.10180205805442,False
281,g,P48+ZTF,58732.1433449,18.4333402870811,0.022779099887689,False
282,r,P48+ZTF,58685.32341440001,18.108867038515502,0.016753560023807,False
283,g,P48+ZTF,58654.297916699994,18.309766754717103,0.032917556934755,False
284,r,P48+ZTF,58670.3125926,18.1738533939972,0.012027443098245,False
285,r,P48+ZTF,58698.1588773,18.0722261795877,0.0370940589389,False
286,g,P48+ZTF,58670.282338,18.3025961743937,0.012146220502495001,False
287,r,P48+ZTF,58647.2741319,18.2776783976988,0.023951811543391002,False
288,r,P48+ZTF,58627.3956019,18.758213711682,0.025466495471503,False
289,r,P48+ZTF,58691.1911343,18.0816444259701,0.011743757612033003,False
290,g,P48+ZTF,58728.1513079,18.449968825536804,0.015597371135664,False
291,g,P48+ZTF,58798.099247699996,18.8757757905279,0.127881095640749,False
292,g,P48+ZTF,58641.2121528,18.469652927665,0.017898999595581003,False
293,g,P48+ZTF,58635.4428125,18.610593266542,0.015301147208114,False
294,g,P48+ZTF,58647.37048609999,18.3389212750112,0.022400390397012998,False
295,g,P48+ZTF,58643.353287,18.463089263251604,0.014934690985475,False
296,g,P48+ZTF,58708.1728819,18.144450215576104,0.026221469295468997,False
297,g,P48+ZTF,58608.402268499995,20.243847573666603,0.084907338811121,False
298,g,P48+ZTF,58681.1906944,18.292590839417,0.036956056842394995,False
299,g,P48+ZTF,58681.186539400005,18.3207416254909,0.034768364061329,False
300,r,P48+ZTF,58696.3477778,18.0695663998717,0.013588494589818001,False
301,g,P48+ZTF,58639.431354199995,18.4958763177913,0.012868072399985001,False
302,r,P48+ZTF,58737.186828699996,18.332271643183397,0.036476411249681,False
303,i,P48+ZTF,58685.305648099995,17.9397334625234,0.020322410807055998,False
304,g,P48+ZTF,58607.4166204,20.3071811423881,0.069980608871082,False
305,r,P48+ZTF,58643.25576390001,18.3455629179219,0.01625422241258,False
306,g,P48+ZTF,58771.11017359999,18.7153766581937,0.057252112732705,False
307,r,P48+ZTF,58647.275034700004,18.2556814153722,0.020185720936081,False
308,g,P48+ZTF,58674.3544676,18.2689281053403,0.012652105691576,False
309,g,P48+ZTF,58713.227916699994,18.5437541442331,0.18618014298848604,False
310,g,P48+ZTF,58734.1871296,18.583935949350103,0.04305146335378201,False
311,r,P48+ZTF,58643.2781019,18.341398579043698,0.01801593462059,False
312,g,P48+ZTF,58672.3012847,18.2785191752314,0.009950512814951,False
313,g,P48+ZTF,58600.399710599995,21.407271179221603,0.183018218899339,False
314,g,P48+ZTF,58712.190393499994,18.1968875168768,0.02801380009141,False
315,g,P48+ZTF,58673.31939809999,18.278342096142897,0.012081064479005,False
316,g,P48+ZTF,58644.3404167,18.384715319111102,0.014283189949927,False
317,r,P48+ZTF,58728.205162,18.1471189658477,0.015318206578857,False
318,i,P48+ZTF,59067.23210650001,19.027137720549298,0.051278558861180004,False
319,r,P48+ZTF,58655.1927546,18.245839331984197,0.016468523037486,False
320,g,P48+ZTF,58644.341330999996,18.3698144012255,0.014701941809566998,False
321,g,P48+ZTF,58671.2839005,18.2787630787698,0.012585141733241002,False
322,g,P48+ZTF,58711.221053199995,18.208814420403602,0.02532358552418,False
323,r,P48+ZTF,58703.1685532,18.1491941185322,0.031058114973675,False
324,g,P48+ZTF,58618.4196181,19.0902815379006,0.09212252311922801,False
325,g,P48+ZTF,58678.2869676,18.359858611294104,0.033283029612294,False
326,g,P48+ZTF,58693.28804400001,18.2436364215989,0.013510536623199,False
327,g,P48+ZTF,58743.120451400006,18.5815520768247,0.026114462855426002,False
328,g,P48+ZTF,58635.475162,18.5729396585764,0.028092625898379,False
329,g,P48+ZTF,58716.185509300005,18.2607277208478,0.012337067722812,False
330,g,P48+ZTF,58740.1226273,18.4804361136248,0.041513660306313996,False
331,g,P48+ZTF,58655.272789400005,18.363130335138603,0.036036760063076004,False
332,g,P48+ZTF,58789.125324099994,18.9012514636891,0.08872473417194801,False
333,r,P48+ZTF,58695.23377309999,18.197126173506998,0.014431003394102,False
334,i,P48+ZTF,58953.460069400004,18.545305728272897,0.045221922189424,False
335,g,P48+ZTF,58734.208588,18.5103222071501,0.038582235140391996,False
336,g,P48+ZTF,58712.17310190001,18.2333407606856,0.022746425843537,False
337,r,P48+ZTF,58682.282291699994,18.1000097214431,0.018051221288841,False
338,r,P48+ZTF,58733.248020800005,18.2796769870825,0.029505210370589,False
339,g,P48+ZTF,58641.2345023,18.3653219352983,0.030180217402852996,False
340,i,P48+ZTF,59063.2108102,18.955637005323897,0.056369871343052005,False
341,i,P48+ZTF,58667.18030090001,18.0786685001892,0.021755996705262,False
342,g,P48+ZTF,58699.180787,18.1802606000843,0.013343655209930002,False
343,g,P48+ZTF,58617.420196800005,19.303510841793,0.035292003288856004,False
344,g,P48+ZTF,58738.1336574,18.518684471948898,0.040684830476781,False
345,i,P48+ZTF,58966.4845023,18.5225017211443,0.024635809817332002,False
346,r,P48+ZTF,58640.255393499996,18.3947508361695,0.014830996618863002,False
347,i,P48+ZTF,58991.3358681,18.6210823221445,0.037911401802175004,False
348,r,P48+ZTF,58646.3086574,18.263993621768698,0.036638925178219,False
349,g,P48+ZTF,58682.1877662,18.2880136517169,0.020669098641423002,False
350,g,P48+ZTF,58642.4169444,18.445896305814102,0.011142690201972002,False
351,i,P48+ZTF,59088.1908796,18.9741552452085,0.06493425361591401,False
352,g,P48+ZTF,58725.16570599999,18.3724210136864,0.024275876444151002,False
353,i,P48+ZTF,58659.1799653,18.1637860766175,0.025385989723502003,False
354,g,P48+ZTF,58673.3099306,18.3069920811756,0.013542038054956998,False
355,g,P48+ZTF,58682.2109954,18.306638836569,0.024018475371407,False
356,r,P48+ZTF,58709.2565972,18.011304673813,0.021479977547032,False
357,r,P48+ZTF,58654.35063659999,18.2897893342782,0.030310392196527,False
358,r,P48+ZTF,58640.279884300006,18.4030726156953,0.013700927460892,False
359,r,P48+ZTF,58678.23017359999,18.1626502287606,0.02296264909149,False
360,r,P48+ZTF,58728.2348495,18.3013324621313,0.021946606064944002,False
361,g,P48+ZTF,58700.25699069999,18.1963980902763,0.013166903654770001,False
362,g,P48+ZTF,58617.4154398,19.380319577957398,0.041107483625452995,False
363,r,P48+ZTF,59001.2934028,19.2848809224395,0.017261569233363,False
364,r,P48+ZTF,58616.3966204,19.3666089011618,0.032317375284835,False
365,g,P48+ZTF,58718.174398099996,18.254963108297602,0.012049229800918002,False
366,r,P48+ZTF,58638.268171300006,18.4901921186013,0.014576722611418999,False
367,r,P48+ZTF,58654.3430324,18.2462245721003,0.022904352034525,False
368,r,P48+ZTF,58686.3058796,18.120933598305303,0.015563915034222999,False
